fdc_id,food_name,wweia_category,wweia_category_description,food_group,meal_tags,serving_grams,calories,protein_g,carbohydrate_g,fat_g,fiber_g,sugars_g,sodium_mg,saturated_fat_g,vegetarian,vegan,minimally_processed,source
2709202,"Cranberries, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,123.2,0.1,33.1,0.4,2.1,29.0,2.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709279,"Cranberries, raw",6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,64.4,0.6,16.8,0.2,5.0,6.0,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709280,Cranberry sauce,6011,Blueberries and other berries,fruit,"breakfast,dinner,lunch",140.0,222.6,1.3,56.6,0.2,1.5,44.4,7.0,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709201,"Currants, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,116.0,1.4,30.8,0.1,1.8,24.9,17.2,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709203,Date,6016,Dried fruits,fruit,"breakfast,dinner,lunch",140.0,394.8,3.4,105.0,0.5,11.2,88.7,2.8,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709234,Dragon fruit,6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,95.2,1.0,22.7,0.3,2.5,16.8,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709236,"Fig, canned",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,106.4,0.8,27.1,0.3,3.1,24.1,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709204,"Fig, dried",6016,Dried fruits,fruit,"breakfast,dinner,lunch",40.0,110.8,1.3,25.6,0.4,3.9,19.2,4.0,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709235,"Fig, raw",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,103.6,1.0,26.9,0.4,4.1,22.8,1.4,0.1,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
2709292,"Fruit mixture, frozen",6018,Other fruits and fruit salads,fruit,"breakfast,dinner,lunch",140.0,67.2,1.0,15.8,0.3,2.0,12.9,12.6,0.0,True,True,True,"USDA FoodData Central FNDDS 2021-2023, October 2024 release"
